CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
12041,4.230769230846154,10.3,36.9,,7.5,
12043,4.166666666545455,13.9,39.7,,8.6,
12045,5.7777777782,10.6,38.4,,7.0,
12047,5.5,13.6,39.5,,8.2,
12049,6.2749999997,14.4,40.3,,8.4,
12051,6.166666666759999,15.1,38.6,,8.0,
12053,8.417445482953271,11.0,33.4,,7.0,
12055,6.440928269949367,11.8,36.2,,7.2,
12057,10.5136208854563,11.2,31.4,,6.0,
12059,4.322222222,11.4,36.3,,7.7,
12061,7.277777777806452,10.0,33.0,,6.3,
12063,5.188034187974359,13.1,42.7,,7.7,
12065,5.030303030272727,11.7,37.9,,6.6,
12067,4.8055555555,12.8,40.4,,8.6,
12069,7.266891891824325,11.3,34.8,,6.4,
12071,9.420233463031128,10.1,31.1,,6.3,
12073,9.94915254238983,10.7,33.1,,6.0,
12075,5.057471264413794,10.3,38.5,,7.1,
12077,4.1666666665,12.4,40.8,,7.7,
12079,5.1770833335625,14.0,36.5,,8.0,
12081,11.225160256206731,10.4,33.9,,6.2,
12083,7.351428571462857,11.3,39.1,,6.9,
12085,6.927304964595745,9.1,27.6,,6.1,
12086,13.896486825622961,13.3,30.3,,6.5,
12087,10.855263157973683,9.5,29.7,,6.0,
12089,6.354166666599999,8.9,32.5,,5.9,
12091,7.717948717923077,9.8,33.6,,5.9,
12093,5.863095238071429,12.6,40.1,,7.8,
12095,11.678222222282667,11.5,32.8,,6.0,
12097,10.177631578921053,12.8,31.0,,6.4,
12099,10.844996237724605,10.1,30.5,,6.3,
12101,9.054112554214285,9.9,34.7,,6.0,
12103,12.857605178106795,9.4,32.2,,6.5,
12105,8.12940584076435,12.8,41.6,,7.0,
12107,5.773224043655738,12.7,39.8,,7.9,
12109,8.233739837378048,7.6,26.5,,5.1,
12111,7.210401891219858,11.5,34.7,,6.4,
12113,6.3290598289743585,9.4,31.1,,6.2,
12115,11.730158730206348,8.2,28.8,,5.7,
12117,9.660283687710638,10.0,31.4,,5.7,
12119,5.634146341463414,9.4,35.1,,5.9,
12121,5.641025641076923,11.3,44.8,,7.5,
12123,5.70833333335,12.1,42.8,,7.6,
12125,4.888888888888889,12.4,42.5,,7.6,
12127,10.72376009231834,9.8,33.9,,5.8,
12129,5.0222222222,10.3,37.3,,6.5,
12131,6.085185185266667,9.4,31.1,,6.3,
12133,5.199999999866667,11.7,41.1,,7.7,
13001,5.2261904765,12.7,40.7,33.8,7.0,40.0
13003,4.666666666666667,15.0,42.1,34.3,8.1,39.7
13005,5.925925925111112,12.7,41.3,34.6,7.1,38.3
13007,3.4583333332499997,14.3,41.9,33.9,7.2,42.6
13009,6.086021505290322,13.7,39.8,32.8,6.7,40.2
13011,5.047619047714286,10.9,36.7,33.9,6.6,34.2
13013,5.960784313617647,11.0,39.9,33.8,6.0,33.7
13015,6.574829931897959,10.6,37.8,31.2,6.1,36.2
13017,6.411111110933333,14.7,41.9,33.1,7.6,40.9
13019,4.1333333332,12.2,38.7,33.8,7.3,38.5
13021,7.2169312169047615,14.2,48.5,32.2,6.8,39.7
13023,6.166666666625,11.4,42.0,33.1,6.5,38.1
13025,4.055555555333333,11.4,39.2,34.4,7.2,37.3
13027,5.0333333334666674,14.7,42.1,33.5,7.5,41.2
13029,5.869047619071429,9.7,37.1,32.9,5.5,33.3
13031,6.396825397261905,12.3,39.1,33.4,6.3,37.2
